idx|topic|clean_doc|clean_source|source_key|source_file
11|Should TikTok face backlash?|Rather than make TikTok a scapegoat for the social media industry, the U.S. government should better regulate the industry as a whole. [52]|procon_corpus.jsonl#L1358|procon_corpus.jsonl#L1358|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
12|Should 16-year-olds be allowed to vote?|A 2019 Hill-HarrisX poll found that 84% of registered voters opposed lowering the voting age to 16. The poll found every age group was against 16-year-olds voting, with the most support found among those under 35 where still only 39% were in favor. [47]|procon_corpus.jsonl#L1422|procon_corpus.jsonl#L1422|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
13|Is binge-watching addictive?|"Binge-watching can lead to addiction. Dr. Renee Carr, a clinical psychologist, said, “The neuronal pathways that cause heroin and sex addictions are the same as an addiction to binge watching. Your body does not discriminate against pleasure. It can become addicted to any activity or substances that consistently produces dopamine.” [8]

A study found that rather than relieving stress, excessive TV watching is associated with regret, guilt, and feelings of failure because of a sense of wasted time. [18] When that binge-watching session is over, the viewer may be more likely to “mourn” the loss of the show by experiencing depression, anxiety, and feelings of emptiness. [19] [20]"|procon_corpus.jsonl#L157|procon_corpus.jsonl#L157|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
14|Is returning to gold standard advantageous?|Returning to a gold standard would create increased demand for gold and mining activity would increase. Many gold mines use a process called cyanide leach mining that creates large-scale water pollution and massive open-pit scars on the land. Producing one ounce of gold creates 79 tons of mine waste. [55] [56]|procon_corpus.jsonl#L681|procon_corpus.jsonl#L681|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
15|Is a college diploma useful?|Colleges offer career services, internships, job shadowing, job fairs, and volunteer opportunities in addition to a wide variety of courses that may provide a career direction. Over 80% of college students complete internships before graduation, giving them valuable employment experience before entering the job market. Colleges provide networking value. [27]|procon_corpus.jsonl#L210|procon_corpus.jsonl#L210|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
16|Should mandatory service exist?|Also, a period of mandatory service could be a hardship for families and communities that would lose the young people who are already performing service by contributing to household income, babysitting for neighbors, or caring for sick relatives. [33] [34]|procon_corpus.jsonl#L841|procon_corpus.jsonl#L841|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
17|Do statues influence public discourse?|The statues were built to honor and enforce white supremacist views, and the intent or damaging effect have not been erased by time.|procon_corpus.jsonl#L759|procon_corpus.jsonl#L759|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
18|Is the Electoral College the best system?|According to Alexander Hamilton, the Electoral College is if “not perfect, it is at least excellent,” because it ensured “that the office of President will never fall to the lot of any man who is not in an eminent degree endowed with the requisite qualifications.” [7]|procon_corpus.jsonl#L504|procon_corpus.jsonl#L504|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
19|Do teachers find animal dissection valuable in schools?|A 2022 study found 83% of teachers surveyed in Switzerland agreed that “dissection is a valuable part of teaching biology in schools,” while 70% disagreed that “alternatives are just as good as animals or animal parts for teaching biology.” [36]|procon_corpus.jsonl#L71|procon_corpus.jsonl#L71|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
20|Should drone strikes occur abroad?|U.S. drone strikes help countries fight terrorist threats to their own domestic peace and stability, including al-Qaeda and the Taliban in Pakistan, al-Shabaab in Somalia, al Qaeda in the Arabian Peninsula in Yemen, and al Qaeda in the Maghreb in Algeria and Mali.|procon_corpus.jsonl#L429|procon_corpus.jsonl#L429|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
21|Can universal health care reduce inequality?|Gabriel Zieff, Zachary Y. Kerr, Justin B. Moore, and Lee Stoner, researchers from the University of North Carolina at Chapel Hill and Wake Forest University, stated:“Non-inclusive, inequitable systems limit quality healthcare access to those who can afford it or have employer-sponsored insurance. These policies exacerbate health disparities by failing to prioritize preventive measures at the environmental, policy, and individual level. Low SES segments of the population are particularly vulnerable within a healthcare system that does not prioritize affordable care for all or address important determinants of health. Failing to prioritize comprehensive, affordable health insurance for all members of society and straying further from prevention will harm the health and economy of the U.S. While there are undoubtedly great economic costs associated with universal healthcare in the U.S., we argue that in the long-run, these costs will be worthwhile, and will eventually be offset by a healthier populace whose health is less economically burdensome. Passing of the Obama-era ACA was a positive step forward as evident by the decline in uninsured U.S. citizens (estimated 7–16.4 million) and Medicare’s lower rate of spending following the legislation [43]. The U.S. must resist the current political efforts to dislodge the inclusive tenets of the Affordable Care Act. Again, this is not to suggest that universal healthcare will be a cure-all, as social determinants of health must also be addressed. However, addressing these determinants will take time and universal healthcare for all U.S. citizens is needed now. Only through universal and inclusive healthcare will we be able to pave an economically sustainable path towards true public health.”Gabriel Zieff, et al., “Universal Healthcare in the United States of America: A Healthy Debate,”  Medicina (Kaunas) , ncbi.nlm.nih.gov, Oct. 30, 2020|procon_corpus.jsonl#L1148|procon_corpus.jsonl#L1148|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
22|Does Santa have authenticity?|Admittedly, the whole ‘flying reindeer’ thing does seem very far-fetched, and this is a fair accusation. Investigations suggest that the flying reindeer image is a distortion of the truth, in that reindeer are native to the Arctic so Santa may well keep reindeer on his premises and perhaps they did pull his sleigh originally. But there is substantial evidence now to suggest that Santa powers his sled with the energy obtained from a precisely controlled quantum singularity. Basically, Santa has access to a small black hole, which he uses to perform his duties.” [8]|procon_corpus.jsonl#L1184|procon_corpus.jsonl#L1184|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
23|Should GMOs be regulated more strictly?|Genetically modified ingredients are in 70-80% of food eaten in the United States, even though there haven’t been any long term clinical trials on humans to determine whether GMO foods are safe. [31] [32]|procon_corpus.jsonl#L616|procon_corpus.jsonl#L616|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
24|Should humans pursue extraterrestrial colonization?|Some theorists, including Gonzalo Munevar, PhD, interdisciplinary Professor Emeritus at Lawrence Technological University, believe colonizing space will increase clean energy on Earth, provide access to the solar system’s resources, and increase knowledge of space and Earth. The benefits to humanity created by the resources and knowledge “create a moral obligation to colonize space.” [22]|procon_corpus.jsonl#L1239|procon_corpus.jsonl#L1239|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
25|Should schools allow all books?|What some call “book banning,” many see as making responsible choices about what books are available in public and school libraries. “Is it censorship that you’re unable to go to your local taxpayer-funded branch and check out a copy of the ‘Protocols of the Elders of Zion’? For better or for worse, these books are still widely available. Your local community has simply decided that finite public resources are not going to be spent disseminating them,” Weekly Standard writer and school board member Mark Hemingway stated. [18]|procon_corpus.jsonl#L137|procon_corpus.jsonl#L137|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
26|Is cancel culture divisive?|Cancel culture is also a slippery slope for those doing the calling out as Steven Mintz, Professor Emeritus at California Polytechnic State University in San Luis Obispo, explains: “Some members of the canceling group join in for fear of being canceled themselves. People should be able to speak out or remain silent on the issues without fear of retribution.” He continues by calling for more tolerance and “willingness to allow the existence of opinions or behavior that one does not necessarily agree with and not seek to harm the offender.” [33]|procon_corpus.jsonl#L196|procon_corpus.jsonl#L196|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
27|Does a higher minimum wage have an economic impact?|As explained by George Reisman, Professor Emeritus of Economics at Pepperdine University, “The higher wages are, the higher costs of production are. The higher costs of production are, the higher prices are. The higher prices are, the smaller the quantities of goods and services demanded and the number of workers employed in producing them.” Thus, raising the minimum wage would actually increase poverty among minimum wage workers. [47] [48]|procon_corpus.jsonl#L916|procon_corpus.jsonl#L916|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
28|Should there be a specific age when alcohol is legal?|However, drinking alcohol remains regulated under a legal age of license. An 18-year-old may legally be responsible children and legally allowed to make life decisions with years of impact, but may not legally drink a beer. [58]|procon_corpus.jsonl#L392|procon_corpus.jsonl#L392|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
29|Is there public approval for electronic voting machines?|Where electronic voting machines are concerned, there is no need to reinvent the wheel. With continued maintenance, software updates, and evolving legislative security measures, the current electronic voting machine system will continue to serve voters well.|procon_corpus.jsonl#L1436|procon_corpus.jsonl#L1436|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
30|Is enhancing drugs ethical in sports?|“In evaluating any sports performance, the outcome cannot be detached from the means of its achievement. More work needs to be done by philosophers and sport scientists to determine when, if ever, drug-assisted performance truly extends the limits of human performance….Furthermore, sports are designed to test a specific cluster of skills and capacities, including physical, psychological, tactical and technical abilities. Performance-enhancing drugs elevate the importance of certain physical attributes, such as strength and stamina.Lifting the ban on drugs would alter the nature of sports by increasing the significance of this sub-set of physical attributes at the expense of other physical attributes, such as coordination and agility, as well as non-physical attributes such as strategic skill, mental resilience, and technical proficiency.”John William Devine, “The Enhanced Games: Letting Athletes Use Drugs Could Lead to Worse Problems than Cheating,” theconversation.com, July 11, 2023|procon_corpus.jsonl#L461|procon_corpus.jsonl#L461|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
31|Should public colleges offer zero tuition?|Tuition is only one expense college students have to pay and accounts for anywhere from 28.9% to 73.6% of total average college costs. [60]|procon_corpus.jsonl#L560|procon_corpus.jsonl#L560|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
32|Should fur be embraced?|Fur sales bans are one way to force fashion brands and consumers to make better choices. Fashion editor Jenna Igneri says it’s easy to “opt for another sustainable outerwear option, such as a non-animal-fur coat made of recycled materials or vintage wool. If you can’t resell Grandma’s mink with a good conscience, arguing that whoever wears it next will be perpetuating the problem, know that there are plenty of other options than simply keeping it packed away in the deepest depths of your closet. For example… there are organizations that repurpose old furs as bedding for rescued wildlife, which is a great (and… much cuter) option.” [31]|procon_corpus.jsonl#L586|procon_corpus.jsonl#L586|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
33|Should there be gun regulations?|Gun control laws infringe upon the right to self-defense and deny people a sense of safety. The police cannot protect everyone all of the time. 61% of men and 56% of women surveyed by Pew Research said that stricter gun laws would “make it more difficult for people to protect their homes and families.” Nelson Lund, Professor at George Mason University School of Law, stated, “The right to self-defense and to the means of defending oneself is a basic natural right that grows out of the right to life” and “many [gun control laws] interfere with the ability of law-abiding citizens to defend themselves against violent criminals.” A Pew Foundation report found that 79% of male gun owners and 80% of female gun owners said owning a gun made them feel safer and 64% of people living in a home in which someone else owns a gun felt safer. Even Senator Dianne Feinstein, a gun control advocate, carried a concealed gun when her life was threatened and her home attacked by the New World Liberation Front in the 1970s. [58] [59] [64]|procon_corpus.jsonl#L740|procon_corpus.jsonl#L740|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
34|Are school uniforms beneficial?|"Plus, school uniforms can improve attendance and discipline. A study by researchers at the University of Houston found that the average absence rate for girls in middle and high school decreased by 7% after the introduction of uniforms, and behavioral problems lessened in severity. School uniforms make getting ready for school easier, which can improve punctuality.
When uniforms are mandatory, parents and students do not spend time choosing appropriate outfits for the school day. According to a national survey, over 90% of US school leaders believe school uniform or formal dress code policies “eliminate wardrobe battles with kids,” make it “easier to get kids ready in the morning,” and create a “time saving in the morning.” Tracey Marinelli, Superintendent of the Lyndhurst School District in New Jersey, credits the district’s uniform policy for reducing the number of students running late. Lyndhurst student Mike Morreale agrees, stating that “it’s so much easier to dress than having to search for clothes and find out that something doesn’t match.” A Youngstown State University study of secondary schools in Ohio’s eight largest school districts found that school uniform policies improve rates of attendance, graduation, and suspension. [1] [6] [7] [27] [32]"|procon_corpus.jsonl#L1216|procon_corpus.jsonl#L1216|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
35|Is it normal to consume milk?|Consuming dairy milk as an adult is also not a popular dietary choice. As Harvard University endocrinologist Walter Willett explains, “There are some nomadic [people] like Mongolian or Maasai that do drink milk, but most of the world’s population does not consume milk after infancy.” Moreover, a cow’s milk is meant for a baby cow, not humans. [20]|procon_corpus.jsonl#L862|procon_corpus.jsonl#L862|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
36|Is debt forgiveness justified?|A 2020 survey found 46% of Americans believe student loan forgiveness is unfair to those who have paid off their loans, and 39% believe it unfair to those without loans. [26]|procon_corpus.jsonl#L1320|procon_corpus.jsonl#L1320|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
37|Do cities view hosting Olympics positively?|One economic study found that “the Olympic effect is robust; hosting the games tends to increase a country’s openness substantively and permanently.” [14]|procon_corpus.jsonl#L925|procon_corpus.jsonl#L925|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
38|Can AI drive social change?|The implications of allowing AI to complete tasks are enormous. We will see declines in work quality and human motivation as well as the rise of dangerous situations from deadly workplace accidents to George Orwell’s dreaded “groupthink.” And, when humans have become too lazy to program the technology, we’ll see lazy AI, too. [90]|procon_corpus.jsonl#L119|procon_corpus.jsonl#L119|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
39|Is vegetarianism influential?|Further, it is not necessary to become vegetarian to lower our environmental footprint. Some vegetarians eat an unhealthy diet, drive SUVs, and consume eggs and dairy products produced at factory farms (CAFOs). Some meat eaters use solar panels, ride bikes, grow their own vegetables, and eat free-range organic meat. All of a person’s actions make a difference—not just a single act such as eating meat.|procon_corpus.jsonl#L1402|procon_corpus.jsonl#L1402|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
40|Should reparations be approached?|Simply determining who is eligible for reparations could come with a hefty price tag.|procon_corpus.jsonl#L1143|procon_corpus.jsonl#L1143|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
41|Will socialism negatively affect US wealth?|Socialist policies, particularly a wealth tax, could redistribute wealth and aid Americans who have been penalized by a structurally inequitable system.|procon_corpus.jsonl#L62|procon_corpus.jsonl#L62|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
42|Will allowing 16-year-olds to vote cause changes?|A 2019 Hill-HarrisX poll found that 84% of registered voters opposed lowering the voting age to 16. The poll found every age group was against 16-year-olds voting, with the most support found among those under 35 where still only 39% were in favor. [47]|procon_corpus.jsonl#L1422|procon_corpus.jsonl#L1422|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
43|Should mandatory service be implemented?|Also, a period of mandatory service could be a hardship for families and communities that would lose the young people who are already performing service by contributing to household income, babysitting for neighbors, or caring for sick relatives. [33] [34]|procon_corpus.jsonl#L841|procon_corpus.jsonl#L841|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
44|Do teachers approve of animal dissection in schools?|A 2022 study found 83% of teachers surveyed in Switzerland agreed that “dissection is a valuable part of teaching biology in schools,” while 70% disagreed that “alternatives are just as good as animals or animal parts for teaching biology.” [36]|procon_corpus.jsonl#L71|procon_corpus.jsonl#L71|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
45|Should drone strikes be conducted abroad?|U.S. drone strikes help countries fight terrorist threats to their own domestic peace and stability, including al-Qaeda and the Taliban in Pakistan, al-Shabaab in Somalia, al Qaeda in the Arabian Peninsula in Yemen, and al Qaeda in the Maghreb in Algeria and Mali.|procon_corpus.jsonl#L429|procon_corpus.jsonl#L429|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
46|Does a higher minimum wage cause job losses?|David Cooper, Director of the Economic Analysis and Research Network (EARN), Zane Mokhiber, Data Analyst at the Economic Policy Institute and Ben Zipperer, Economist at the Economic Policy Institute, stated: “Raising the minimum wage to $15 would help ensure that more low-wage workers are paid enough to cover basic living expenses, i.e., a wage providing a modest yet adequate standard of living. As of 2021, in virtually all urban and rural areas of the country, a single adult without children working full time must earn more than $15 per hour to have enough to pay for housing and other basic living expenses. For individuals with children, year-round work at a $15 wage in 2025 will still be inadequate to achieve basic economic security.Minimum wage increases have not led to significant job losses. Despite claims that raising the minimum wage would reduce job opportunities for vulnerable groups of workers, the best evidence shows little to no job losses in the wake of minimum wage increases and a net wage gain even if job losses have occurred. These benefits explain why surveys show that the people most likely to support a minimum wage increase are unemployed people, people of color, and women.”David Cooper, Zane Mokhiber, and Ben Zipperer, “Raising the Federal Minimum Wage to $15 by 2025 Would Lift the Pay of 32 Million Workers,” epi.org, Mar. 9, 2021|procon_corpus.jsonl#L874|procon_corpus.jsonl#L874|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
47|Should there be a legal minimum age for consuming alcohol?|Rather than criminalizing an act that is legal for other adults, lowering the minimum legal drinking age could allow for more regulatory oversight of drinking by 18- to 20-year-olds, whether by a graduated drinking license (a sort of “drinking learner’s permit”) or simply the enforcement of laws other adults are subject to. [64] [67]|procon_corpus.jsonl#L396|procon_corpus.jsonl#L396|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
48|Should there be zero tuition for public colleges?|Tuition is only one expense college students have to pay and accounts for anywhere from 28.9% to 73.6% of total average college costs. [60]|procon_corpus.jsonl#L560|procon_corpus.jsonl#L560|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
49|Should AI drive social change?|48% of experts believed AI will replace a large number of blue- and even white-collar jobs, creating greater income inequality, increased unemployment, and a breakdown of the social order. [35]|procon_corpus.jsonl#L111|procon_corpus.jsonl#L111|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
50|Would socialism decrease US wealth?|Socialist policies, particularly a wealth tax, could redistribute wealth and aid Americans who have been penalized by a structurally inequitable system.|procon_corpus.jsonl#L62|procon_corpus.jsonl#L62|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
51|Will changes occur if 16-year-olds can vote?|A 2019 Hill-HarrisX poll found that 84% of registered voters opposed lowering the voting age to 16. The poll found every age group was against 16-year-olds voting, with the most support found among those under 35 where still only 39% were in favor. [47]|procon_corpus.jsonl#L1422|procon_corpus.jsonl#L1422|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
52|Should there be mandatory service?|Also, a period of mandatory service could be a hardship for families and communities that would lose the young people who are already performing service by contributing to household income, babysitting for neighbors, or caring for sick relatives. [33] [34]|procon_corpus.jsonl#L841|procon_corpus.jsonl#L841|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
53|Do teachers believe animal dissection is necessary in schools?|The Physicians Committee for Responsible Medicine says that “Animal dissection is not required for students to learn about and be engaged in science.” The group found that no medical schools in the US or Canada use animals to train new physicians; revered medical programs at schools such as Stanford, Yale, Harvard, and the Mayo Clinic all use alternatives to animals. [15] [16] [17] [18]|procon_corpus.jsonl#L84|procon_corpus.jsonl#L84|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
54|Should alcohol be legal at a different age?|However, drinking alcohol remains regulated under a legal age of license. An 18-year-old may legally be responsible children and legally allowed to make life decisions with years of impact, but may not legally drink a beer. [58]|procon_corpus.jsonl#L392|procon_corpus.jsonl#L392|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
55|Are enhancing drugs ethical in sports?|“In evaluating any sports performance, the outcome cannot be detached from the means of its achievement. More work needs to be done by philosophers and sport scientists to determine when, if ever, drug-assisted performance truly extends the limits of human performance….Furthermore, sports are designed to test a specific cluster of skills and capacities, including physical, psychological, tactical and technical abilities. Performance-enhancing drugs elevate the importance of certain physical attributes, such as strength and stamina.Lifting the ban on drugs would alter the nature of sports by increasing the significance of this sub-set of physical attributes at the expense of other physical attributes, such as coordination and agility, as well as non-physical attributes such as strategic skill, mental resilience, and technical proficiency.”John William Devine, “The Enhanced Games: Letting Athletes Use Drugs Could Lead to Worse Problems than Cheating,” theconversation.com, July 11, 2023|procon_corpus.jsonl#L461|procon_corpus.jsonl#L461|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
56|Should public colleges have zero tuition?|Tuition is only one expense college students have to pay and accounts for anywhere from 28.9% to 73.6% of total average college costs. [60]|procon_corpus.jsonl#L560|procon_corpus.jsonl#L560|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
57|Do cities view hosting the Olympics positively?|One economic study found that “the Olympic effect is robust; hosting the games tends to increase a country’s openness substantively and permanently.” [14]|procon_corpus.jsonl#L925|procon_corpus.jsonl#L925|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
58|Should reparations be implemented?|Meanwhile, if reparations were paid, the country’s problems with racial inequality would not be solved and may actually be exacerbated.|procon_corpus.jsonl#L1133|procon_corpus.jsonl#L1133|/m/home/home6/63/viljanj7/data/Desktop/dibaru/dibaru/data/procon_corpus.jsonl
